,ID_hecho,FECHA,AAAA,MM,DD,ROL,VICTIMA,SEXO,EDAD,FECHA_FALLECIMIENTO,fecha_incidente_amd,fecha_fallecimiento_amd,Rango_Edad
73,2016-0097,7/26/2016,2016,7,26,PEATON,PEATON,MASCULINO,80.0,8/12/2016,2016-07-26,2016-08-12,60+
74,2016-0098,7/27/2016,2016,7,27,CONDUCTOR,MOTO,FEMENINO,43.0,SD,2016-07-27,,40-49
75,2016-0099,7/29/2016,2016,7,29,CONDUCTOR,CARGAS,MASCULINO,45.0,SD,2016-07-29,,40-49
76,2016-0100,8/3/2016,2016,8,3,CONDUCTOR,MOTO,MASCULINO,57.0,8/3/2016,2016-08-03,2016-08-03,50-59
77,2016-0101,8/7/2016,2016,8,7,SD,SD,MASCULINO,67.0,SD,2016-08-07,,60+
78,2016-0102,8/10/2016,2016,8,10,CONDUCTOR,MOTO,MASCULINO,29.0,SD,2016-08-10,,18-29
79,2016-0104,8/14/2016,2016,8,14,CONDUCTOR,MOTO,MASCULINO,21.0,8/15/2016,2016-08-14,2016-08-15,18-29
80,2016-0105,8/17/2016,2016,8,17,PEATON,PEATON,MASCULINO,19.0,8/26/2016,2016-08-17,2016-08-26,18-29
81,2016-0106,8/19/2016,2016,8,19,PEATON,PEATON,MASCULINO,38.0,SD,2016-08-19,,30-39
82,2016-0107,8/20/2016,2016,8,20,CONDUCTOR,MOTO,MASCULINO,21.0,SD,2016-08-20,,18-29
83,2016-0109,8/24/2016,2016,8,24,CONDUCTOR,AUTO,FEMENINO,53.0,8/24/2016,2016-08-24,2016-08-24,50-59
84,2016-0110,8/24/2016,2016,8,24,PEATON,PEATON,MASCULINO,57.0,SD,2016-08-24,,50-59
85,2016-0111,8/25/2016,2016,8,25,CONDUCTOR,MOTO,MASCULINO,27.0,8/25/2016,2016-08-25,2016-08-25,18-29
86,2016-0112,8/27/2016,2016,8,27,CONDUCTOR,MOTO,MASCULINO,24.0,8/27/2016,2016-08-27,2016-08-27,18-29
87,2016-0113,8/27/2016,2016,8,27,PEATON,PEATON,FEMENINO,60.0,SD,2016-08-27,,60+
88,2016-0114,8/31/2016,2016,8,31,CICLISTA,BICICLETA,FEMENINO,55.0,8/31/2016,2016-08-31,2016-08-31,50-59
89,2016-0115,9/2/2016,2016,9,2,SD,SD,MASCULINO,,SD,2016-09-02,,
90,2016-0116,9/2/2016,2016,9,2,CONDUCTOR,MOTO,MASCULINO,30.0,9/2/2016,2016-09-02,2016-09-02,30-39
91,2016-0117,9/3/2016,2016,9,3,CONDUCTOR,AUTO,MASCULINO,43.0,SD,2016-09-03,,40-49
92,2016-0118,9/4/2016,2016,9,4,CONDUCTOR,AUTO,MASCULINO,27.0,9/4/2016,2016-09-04,2016-09-04,18-29
93,2016-0119,9/4/2016,2016,9,4,PASAJERO_ACOMPAÑANTE,SD,FEMENINO,,SD,2016-09-04,,
94,2016-0122,9/13/2016,2016,9,13,CICLISTA,BICICLETA,MASCULINO,49.0,9/13/2016,2016-09-13,2016-09-13,40-49
95,2016-0123,9/14/2016,2016,9,14,CONDUCTOR,MOTO,FEMENINO,58.0,SD,2016-09-14,,50-59
96,2016-0124,9/16/2016,2016,9,16,PEATON,PEATON,MASCULINO,67.0,SD,2016-09-16,,60+
97,2016-0125,9/17/2016,2016,9,17,CONDUCTOR,MOTO,MASCULINO,30.0,SD,2016-09-17,,30-39
98,2016-0126,9/18/2016,2016,9,18,CONDUCTOR,AUTO,MASCULINO,37.0,SD,2016-09-18,,30-39
99,2016-0126,9/18/2016,2016,9,18,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,60.0,SD,2016-09-18,,60+
100,2016-0127,9/24/2016,2016,9,24,PEATON,PEATON,MASCULINO,50.0,SD,2016-09-24,,50-59
101,2016-0128,10/2/2016,2016,10,2,PEATON,PEATON,FEMENINO,81.0,10/2/2016,2016-10-02,2016-10-02,60+
102,2016-0130,10/4/2016,2016,10,4,CONDUCTOR,MOTO,MASCULINO,29.0,10/4/2016,2016-10-04,2016-10-04,18-29
103,2016-0131,10/9/2016,2016,10,9,PEATON,PEATON,MASCULINO,35.0,SD,2016-10-09,,30-39
104,2016-0132,10/10/2016,2016,10,10,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,30.0,10/10/2016,2016-10-10,2016-10-10,30-39
105,2016-0133,10/14/2016,2016,10,14,CONDUCTOR,MOTO,MASCULINO,41.0,10/25/2016,2016-10-14,2016-10-25,40-49
106,2016-0134,10/23/2016,2016,10,23,CONDUCTOR,MOTO,MASCULINO,25.0,10/23/2016,2016-10-23,2016-10-23,18-29
107,2016-0135,10/24/2016,2016,10,24,PEATON,PEATON,MASCULINO,29.0,10/25/2016,2016-10-24,2016-10-25,18-29
108,2016-0136,10/25/2016,2016,10,25,CONDUCTOR,MOTO,SD,,SD,2016-10-25,,
109,2016-0137,10/25/2016,2016,10,25,CONDUCTOR,MOTO,MASCULINO,30.0,SD,2016-10-25,,30-39
110,2016-0138,10/27/2016,2016,10,27,CICLISTA,BICICLETA,FEMENINO,33.0,SD,2016-10-27,,30-39
111,2016-0139,10/28/2016,2016,10,28,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,35.0,SD,2016-10-28,,30-39
112,2016-0140,10/31/2016,2016,10,31,PASAJERO_ACOMPAÑANTE,PASAJEROS,MASCULINO,20.0,SD,2016-10-31,,18-29
113,2016-0142,11/5/2016,2016,11,5,CONDUCTOR,MOTO,MASCULINO,46.0,11/5/2016,2016-11-05,2016-11-05,40-49
114,2016-0143,11/6/2016,2016,11,6,CONDUCTOR,MOTO,MASCULINO,35.0,SD,2016-11-06,,30-39
115,2016-0144,11/7/2016,2016,11,7,PEATON,PEATON,MASCULINO,83.0,SD,2016-11-07,,60+
116,2016-0145,11/7/2016,2016,11,7,CONDUCTOR,MOTO,MASCULINO,39.0,11/7/2016,2016-11-07,2016-11-07,30-39
117,2016-0146,11/9/2016,2016,11,9,PEATON,PEATON,FEMENINO,29.0,SD,2016-11-09,,18-29
118,2016-0147,11/16/2016,2016,11,16,PASAJERO_ACOMPAÑANTE,MOVIL,MASCULINO,55.0,11/16/2016,2016-11-16,2016-11-16,50-59
119,2016-0148,11/16/2016,2016,11,16,CONDUCTOR,MOTO,MASCULINO,,SD,2016-11-16,,
120,2016-0150,11/18/2016,2016,11,18,PASAJERO_ACOMPAÑANTE,CARGAS,MASCULINO,41.0,11/18/2016,2016-11-18,2016-11-18,40-49
121,2016-0151,11/18/2016,2016,11,18,PEATON,PEATON,SD,,SD,2016-11-18,,
122,2016-0152,11/23/2016,2016,11,23,CONDUCTOR,MOTO,MASCULINO,42.0,11/24/2016,2016-11-23,2016-11-24,40-49
123,2016-0153,11/25/2016,2016,11,25,PEATON,PEATON,FEMENINO,83.0,11/25/2016,2016-11-25,2016-11-25,60+
124,2016-0154,11/26/2016,2016,11,26,CONDUCTOR,MOTO,MASCULINO,38.0,SD,2016-11-26,,30-39
125,2016-0155,11/26/2016,2016,11,26,PEATON,PEATON,FEMENINO,29.0,SD,2016-11-26,,18-29
126,2016-0156,11/26/2016,2016,11,26,CONDUCTOR,MOTO,MASCULINO,23.0,11/30/2016,2016-11-26,2016-11-30,18-29
127,2016-0157,12/3/2016,2016,12,3,CONDUCTOR,MOTO,MASCULINO,23.0,SD,2016-12-03,,18-29
128,2016-0159,12/4/2016,2016,12,4,CONDUCTOR,AUTO,MASCULINO,23.0,SD,2016-12-04,,18-29
129,2016-0160,12/6/2016,2016,12,6,CONDUCTOR,CARGAS,MASCULINO,29.0,12/6/2016,2016-12-06,2016-12-06,18-29
